Dataset,adjusted_mutual_info_score_BIRCH,adjusted_mutual_info_score_DBSTREAM,adjusted_mutual_info_score_STREAM_KMEANS,adjusted_rand_index_BIRCH,adjusted_rand_index_DBSTREAM,adjusted_rand_index_STREAM_KMEANS,completeness_score_BIRCH,completeness_score_DBSTREAM,completeness_score_STREAM_KMEANS,fowlkes_mallows_index_BIRCH,fowlkes_mallows_index_DBSTREAM,fowlkes_mallows_index_STREAM_KMEANS,homogeneity_score_BIRCH,homogeneity_score_DBSTREAM,homogeneity_score_STREAM_KMEANS,jaccard_index_BIRCH,jaccard_index_DBSTREAM,jaccard_index_STREAM_KMEANS,normalized_mutual_info_score_BIRCH,normalized_mutual_info_score_DBSTREAM,normalized_mutual_info_score_STREAM_KMEANS,v_measure_score_BIRCH,v_measure_score_DBSTREAM,v_measure_score_STREAM_KMEANS
transformed_g2-8-70_mild_gaussian-noise.csv_predicted_cvis,0.99,0.96,0.99,1.0,1.0,1.0,0.99,0.87,0.99,1.0,0.99,1.0,0.99,0.98,0.99,-0.77,0.97,-0.61,0.99,0.95,0.99,0.99,0.95,0.99
transformed_g2-8-90_mild_gaussian-noise.csv_predicted_cvis,--,0.24,1.0,--,0.92,1.0,--,0.75,0.99,--,0.39,1.0,--,0.22,1.0,--,--,-0.72,--,0.26,1.0,--,0.26,1.0
transformed_g2-2-30_mild_knock-out.csv_predicted_cvis,1.0,1.0,0.97,1.0,1.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0,1.0,1.0,0.97,1.0,1.0,0.97
transformed_g2-8-50_mild_knock-out.csv_predicted_cvis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,--,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
transformed_seeds_mild_knock-out.csv_predicted_cvis,0.99,--,0.99,0.98,--,0.99,0.96,--,0.97,0.97,--,0.98,0.98,--,0.98,-0.89,--,0.73,0.97,--,0.98,0.97,--,0.98
transformed_g2-2-90_mild_knock-out.csv_predicted_cvis,0.96,--,0.56,0.98,--,0.75,0.96,--,0.95,0.97,--,0.24,0.95,--,0.94,-0.78,--,0.97,0.96,--,0.95,0.96,--,0.95
transformed_s1_mild_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-2-90_mild_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-2-10_mild_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_s4_mild_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-8-30_mild_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_s3_mild_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_iris_mild_gaussian-noise.csv_predicted_cvis,0.59,0.11,0.89,0.78,0.08,0.93,-0.14,0.48,0.55,0.76,0.07,0.96,0.62,0.49,0.88,0.07,0.25,--,0.77,0.5,0.92,0.77,0.5,0.92
transformed_human-activity-recognition_mild_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_s4_mild_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
