Dataset,adjusted_mutual_info_score_BIRCH,adjusted_mutual_info_score_DBSTREAM,adjusted_mutual_info_score_STREAM_KMEANS,adjusted_rand_index_BIRCH,adjusted_rand_index_DBSTREAM,adjusted_rand_index_STREAM_KMEANS,completeness_score_BIRCH,completeness_score_DBSTREAM,completeness_score_STREAM_KMEANS,fowlkes_mallows_index_BIRCH,fowlkes_mallows_index_DBSTREAM,fowlkes_mallows_index_STREAM_KMEANS,homogeneity_score_BIRCH,homogeneity_score_DBSTREAM,homogeneity_score_STREAM_KMEANS,jaccard_index_BIRCH,jaccard_index_DBSTREAM,jaccard_index_STREAM_KMEANS,normalized_mutual_info_score_BIRCH,normalized_mutual_info_score_DBSTREAM,normalized_mutual_info_score_STREAM_KMEANS,v_measure_score_BIRCH,v_measure_score_DBSTREAM,v_measure_score_STREAM_KMEANS
transformed_iris.csv_predicted_cvis,0.73,0.58,0.83,0.87,0.63,0.88,0.17,0.67,0.34,0.81,0.57,0.84,0.92,0.7,0.98,-0.07,0.57,-0.37,0.94,0.71,0.86,0.94,0.71,0.86
transformed_g2-8-30.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_s2.csv_predicted_cvis,--,--,0.99,--,--,0.98,--,--,-0.55,--,--,0.98,--,--,0.99,--,--,0.51,--,--,0.99,--,--,0.99
transformed_g2-2-90.csv_predicted_cvis,0.95,--,0.96,0.98,--,0.98,0.97,--,0.96,0.97,--,0.97,0.95,--,0.94,-0.76,--,-0.73,0.96,--,0.95,0.96,--,0.95
transformed_fashion-mnist.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_mnist.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-2-30.csv_predicted_cvis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,--,1.0,1.0,1.0,1.0,1.0,1.0
transformed_g2-2-50.csv_predicted_cvis,0.98,-0.2,0.99,1.0,0.06,1.0,0.98,-0.16,0.99,1.0,-0.13,1.0,0.99,0.78,0.99,1.0,0.85,-0.93,0.98,-0.01,0.99,0.98,-0.01,0.99
transformed_s1.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-2-10.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-4-70.csv_predicted_cvis,0.97,0.99,0.98,1.0,1.0,0.99,0.97,0.99,0.98,0.99,1.0,1.0,0.97,0.99,0.99,-0.91,1.0,0.98,0.97,0.99,0.99,0.97,0.99,0.99
transformed_human-activity-recognition.csv_predicted_cvis,0.8,0.86,0.66,0.93,0.82,0.84,0.91,-0.05,0.81,0.92,0.8,0.86,0.96,0.95,0.93,0.35,--,-0.15,0.95,0.37,0.9,0.95,0.37,0.9
transformed_s3.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_u1.csv_predicted_cvis,--,--,-0.18,--,--,-0.13,--,--,-0.37,--,--,-0.02,--,--,0.59,--,--,-0.57,--,--,-0.32,--,--,-0.32
transformed_g2-8-90.csv_predicted_cvis,0.89,0.62,0.99,0.88,0.93,1.0,0.87,0.77,0.99,0.91,-0.05,1.0,0.94,0.53,0.99,0.95,--,1.0,0.86,0.54,0.99,0.86,0.54,0.99
transformed_g2-4-90.csv_predicted_cvis,0.98,--,0.98,0.99,--,1.0,0.98,--,0.98,0.99,--,0.99,0.98,--,0.98,0.99,--,0.99,0.98,--,0.98,0.98,--,0.98
transformed_wine.csv_predicted_cvis,--,0.18,--,--,0.16,--,--,0.06,--,--,0.11,--,--,0.8,--,--,0.22,--,--,0.55,--,--,0.55,--
transformed_seeds.csv_predicted_cvis,0.86,0.19,0.8,0.84,0.71,0.8,0.23,-0.91,0.64,0.77,-0.03,0.79,0.74,0.93,0.94,-0.45,-0.95,0.42,0.52,0.03,0.85,0.52,0.03,0.85
transformed_g2-8-70.csv_predicted_cvis,1.0,0.93,0.99,1.0,1.0,1.0,1.0,0.87,0.99,1.0,1.0,1.0,1.0,0.95,0.98,-0.72,0.99,-0.77,1.0,0.92,0.98,1.0,0.92,0.98
transformed_g2-8-10.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-4-10.csv_predicted_cvis,--,--,0.99,--,--,1.0,--,--,0.98,--,--,0.99,--,--,0.99,--,--,0.96,--,--,0.99,--,--,0.99
transformed_g2-8-50.csv_predicted_cvis,0.99,1.0,0.99,1.0,1.0,1.0,0.99,1.0,0.99,1.0,1.0,1.0,0.99,1.0,0.99,-0.93,1.0,-1.0,0.99,1.0,0.99,0.99,1.0,0.99
transformed_g2-4-30.csv_predicted_cvis,--,--,1.0,--,--,1.0,--,--,1.0,--,--,1.0,--,--,1.0,--,--,1.0,--,--,1.0,--,--,1.0
transformed_g2-2-70.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_s4.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-4-50.csv_predicted_cvis,1.0,0.97,1.0,1.0,0.99,1.0,1.0,0.94,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.88,-0.86,1.0,0.97,1.0,1.0,0.97,1.0
