Dataset,calinski_harabasz_score_BIRCH,calinski_harabasz_score_DBSTREAM,calinski_harabasz_score_STREAM_KMEANS,davies_bouldin_score_BIRCH,davies_bouldin_score_DBSTREAM,davies_bouldin_score_STREAM_KMEANS,iCH_BIRCH,iCH_DBSTREAM,iCH_STREAM_KMEANS,iDB_BIRCH,iDB_DBSTREAM,iDB_STREAM_KMEANS,iGD43_BIRCH,iGD43_DBSTREAM,iGD43_STREAM_KMEANS,iGD53_BIRCH,iGD53_DBSTREAM,iGD53_STREAM_KMEANS,iPS_BIRCH,iPS_DBSTREAM,iPS_STREAM_KMEANS,iWB_BIRCH,iWB_DBSTREAM,iWB_STREAM_KMEANS,iXB_BIRCH,iXB_DBSTREAM,iXB_STREAM_KMEANS,icSIL_BIRCH,icSIL_DBSTREAM,icSIL_STREAM_KMEANS,irCIP_BIRCH,irCIP_DBSTREAM,irCIP_STREAM_KMEANS,silhouette_score_BIRCH,silhouette_score_DBSTREAM,silhouette_score_STREAM_KMEANS
transformed_g2-8-70_mild_gaussian-noise.csv_predicted_cvis,-0.33,0.4,-0.39,-0.68,0.02,-0.58,-0.36,0.3,-0.41,-0.62,0.09,-0.63,-0.45,-0.17,-0.41,-0.67,-0.03,-0.63,-0.71,-0.04,-0.65,-0.61,0.13,-0.63,-0.63,0.2,-0.64,-0.39,-0.25,-0.35,-0.54,0.27,-0.59,0.08,-0.08,-0.05
transformed_g2-8-90_mild_gaussian-noise.csv_predicted_cvis,--,0.23,-0.79,--,0.15,-0.59,--,0.24,-0.79,--,0.16,-0.78,--,0.14,-0.74,--,0.14,-0.85,--,0.14,-0.76,--,0.13,-0.73,--,0.14,-0.76,--,0.14,-0.4,--,-0.06,-0.95,--,0.39,-0.36
transformed_g2-2-30_mild_knock-out.csv_predicted_cvis,-0.77,-0.56,-0.12,-0.58,-0.54,-0.68,-0.78,-0.57,-0.13,-0.72,-0.71,-0.64,0.63,0.66,0.66,-0.59,-0.42,-0.63,-0.58,-0.57,-0.63,-0.73,-0.71,-0.64,-0.72,-0.71,-0.64,-0.38,-0.41,-0.56,-0.81,-0.73,-0.49,0.7,0.69,0.79
transformed_g2-8-50_mild_knock-out.csv_predicted_cvis,-0.64,-0.76,-0.76,-0.37,-0.44,-0.44,-0.66,-0.77,-0.77,-0.3,-0.43,-0.43,0.22,0.24,0.24,-0.19,-0.32,-0.32,-0.21,-0.36,-0.36,-0.32,-0.45,-0.45,-0.31,-0.44,-0.44,-0.1,-0.21,-0.21,-0.01,0.03,0.03,0.46,0.41,0.41
transformed_seeds_mild_knock-out.csv_predicted_cvis,-0.49,--,-0.65,-0.79,--,-0.54,-0.57,--,-0.67,-0.78,--,-0.89,0.69,--,0.84,-0.45,--,-0.74,-0.76,--,-0.86,-0.75,--,-0.88,-0.84,--,-0.86,-0.76,--,-0.71,-0.36,--,-0.83,0.0,--,-0.29
transformed_g2-2-90_mild_knock-out.csv_predicted_cvis,0.29,--,-0.56,0.15,--,-0.64,0.3,--,-0.59,-0.42,--,-0.84,0.63,--,-0.79,-0.13,--,-0.91,-0.39,--,-0.81,-0.43,--,-0.83,-0.42,--,-0.83,-0.47,--,-0.78,-0.45,--,-0.8,-0.57,--,0.69
transformed_s1_mild_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-2-90_mild_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-2-10_mild_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_s4_mild_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
