Dataset,calinski_harabasz_score_BIRCH,calinski_harabasz_score_DBSTREAM,calinski_harabasz_score_STREAM_KMEANS,davies_bouldin_score_BIRCH,davies_bouldin_score_DBSTREAM,davies_bouldin_score_STREAM_KMEANS,iCH_BIRCH,iCH_DBSTREAM,iCH_STREAM_KMEANS,iDB_BIRCH,iDB_DBSTREAM,iDB_STREAM_KMEANS,iGD43_BIRCH,iGD43_DBSTREAM,iGD43_STREAM_KMEANS,iGD53_BIRCH,iGD53_DBSTREAM,iGD53_STREAM_KMEANS,iPS_BIRCH,iPS_DBSTREAM,iPS_STREAM_KMEANS,iWB_BIRCH,iWB_DBSTREAM,iWB_STREAM_KMEANS,iXB_BIRCH,iXB_DBSTREAM,iXB_STREAM_KMEANS,icSIL_BIRCH,icSIL_DBSTREAM,icSIL_STREAM_KMEANS,irCIP_BIRCH,irCIP_DBSTREAM,irCIP_STREAM_KMEANS,silhouette_score_BIRCH,silhouette_score_DBSTREAM,silhouette_score_STREAM_KMEANS
transformed_s3_moderate_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_s4_moderate_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-4-90_moderate_gaussian-noise.csv_predicted_cvis,-0.02,--,0.11,-0.47,--,-0.53,-0.04,--,0.08,-0.09,--,-0.08,0.21,--,0.23,-0.2,--,-0.16,-0.3,--,-0.42,-0.11,--,-0.09,-0.1,--,-0.09,-0.52,--,-0.54,-0.41,--,-0.57,0.76,--,0.82
transformed_g2-4-90_moderate_knock-out.csv_predicted_cvis,-0.09,--,-0.11,-0.88,--,-0.87,-0.11,--,-0.12,-0.71,--,-0.69,0.68,--,0.7,-0.68,--,-0.63,-0.7,--,-0.7,-0.73,--,-0.72,-0.72,--,-0.71,0.21,--,0.04,-0.86,--,-0.84,0.56,--,0.56
transformed_s2_moderate_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_seeds_moderate_knock-out.csv_predicted_cvis,-0.7,--,-0.73,-0.84,--,-0.31,-0.78,--,-0.84,-0.87,--,-0.9,0.58,--,0.89,-0.82,--,-0.86,-0.82,--,-0.75,-0.84,--,-0.92,-0.85,--,-0.85,-0.79,--,-0.34,-0.63,--,-0.88,-0.42,--,-0.26
transformed_g2-2-30_moderate_gaussian-noise.csv_predicted_cvis,-0.84,-0.9,0.73,-0.89,-0.89,0.8,-0.91,-0.94,0.71,-0.72,-0.81,0.7,0.61,0.74,0.59,-0.44,-0.48,0.61,-0.39,-0.48,0.68,-0.72,-0.82,-0.14,-0.72,-0.82,0.37,-0.13,-0.26,0.61,-0.9,-0.94,-0.81,0.9,0.88,0.8
transformed_g2-2-70_moderate_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_wine_moderate_knock-out.csv_predicted_cvis,-0.64,-0.57,-0.7,-0.62,-0.8,-0.66,-0.68,-0.76,-0.68,-0.65,-0.88,-0.66,0.65,0.9,0.61,-0.39,-0.45,-0.55,-0.56,0.07,-0.72,-0.54,-0.85,-0.6,-0.67,-0.89,-0.63,-0.19,-0.42,-0.47,-0.86,-0.36,-0.39,0.68,0.56,0.55
transformed_g2-4-10_moderate_gaussian-noise.csv_predicted_cvis,--,--,0.3,--,--,-0.99,--,--,-0.64,--,--,-0.98,--,--,0.87,--,--,0.59,--,--,-0.35,--,--,-0.98,--,--,-0.98,--,--,-0.16,--,--,-0.75,--,--,0.98
