Dataset,adjusted_mutual_info_score_BIRCH,adjusted_mutual_info_score_DBSTREAM,adjusted_mutual_info_score_STREAM_KMEANS,adjusted_rand_index_BIRCH,adjusted_rand_index_DBSTREAM,adjusted_rand_index_STREAM_KMEANS,calinski_harabasz_score_BIRCH,calinski_harabasz_score_DBSTREAM,calinski_harabasz_score_STREAM_KMEANS,completeness_score_BIRCH,completeness_score_DBSTREAM,completeness_score_STREAM_KMEANS,davies_bouldin_score_BIRCH,davies_bouldin_score_DBSTREAM,davies_bouldin_score_STREAM_KMEANS,fowlkes_mallows_index_BIRCH,fowlkes_mallows_index_DBSTREAM,fowlkes_mallows_index_STREAM_KMEANS,homogeneity_score_BIRCH,homogeneity_score_DBSTREAM,homogeneity_score_STREAM_KMEANS,iCH_BIRCH,iCH_DBSTREAM,iCH_STREAM_KMEANS,iDB_BIRCH,iDB_DBSTREAM,iDB_STREAM_KMEANS,iGD43_BIRCH,iGD43_DBSTREAM,iGD43_STREAM_KMEANS,iGD53_BIRCH,iGD53_DBSTREAM,iGD53_STREAM_KMEANS,iPS_BIRCH,iPS_DBSTREAM,iPS_STREAM_KMEANS,iWB_BIRCH,iWB_DBSTREAM,iWB_STREAM_KMEANS,iXB_BIRCH,iXB_DBSTREAM,iXB_STREAM_KMEANS,icSIL_BIRCH,icSIL_DBSTREAM,icSIL_STREAM_KMEANS,irCIP_BIRCH,irCIP_DBSTREAM,irCIP_STREAM_KMEANS,jaccard_index_BIRCH,jaccard_index_DBSTREAM,jaccard_index_STREAM_KMEANS,normalized_mutual_info_score_BIRCH,normalized_mutual_info_score_DBSTREAM,normalized_mutual_info_score_STREAM_KMEANS,silhouette_score_BIRCH,silhouette_score_DBSTREAM,silhouette_score_STREAM_KMEANS,v_measure_score_BIRCH,v_measure_score_DBSTREAM,v_measure_score_STREAM_KMEANS
transformed_g2-8-10.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_fashion-mnist.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_s3.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_s4.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-2-30.csv_predicted_cvis,1.0,1.0,1.0,1.0,1.0,1.0,-0.77,-0.57,-0.88,1.0,1.0,1.0,-0.58,-0.52,-0.4,1.0,1.0,1.0,0.99,1.0,1.0,-0.78,-0.57,-0.88,-0.72,-0.71,-0.53,0.63,0.66,0.41,-0.58,-0.42,-0.45,-0.56,-0.54,-0.33,-0.72,-0.71,-0.53,-0.72,-0.71,-0.52,-0.38,-0.41,-0.22,-0.8,-0.72,-0.83,1.0,1.0,--,1.0,1.0,1.0,0.7,0.66,0.45,1.0,1.0,1.0
transformed_u1.csv_predicted_cvis,--,--,-0.18,--,--,-0.13,--,--,-0.27,--,--,-0.37,--,--,-0.35,--,--,-0.02,--,--,0.59,--,--,-0.27,--,--,-0.69,--,--,0.46,--,--,0.03,--,--,0.21,--,--,-0.23,--,--,-0.57,--,--,-0.38,--,--,-0.16,--,--,-0.57,--,--,-0.32,--,--,-0.02,--,--,-0.32
transformed_s2.csv_predicted_cvis,--,--,0.99,--,--,0.98,--,--,0.74,--,--,-0.55,--,--,-0.94,--,--,0.98,--,--,0.99,--,--,0.75,--,--,-0.92,--,--,0.85,--,--,0.68,--,--,0.08,--,--,-0.93,--,--,-0.94,--,--,0.87,--,--,-0.54,--,--,0.51,--,--,0.99,--,--,0.44,--,--,0.99
transformed_g2-2-50.csv_predicted_cvis,0.98,-0.2,0.99,1.0,0.06,1.0,-0.8,0.02,-0.91,0.98,-0.16,0.99,-0.09,-0.32,0.17,1.0,-0.13,1.0,0.99,0.78,0.99,-0.81,-0.01,-0.91,-0.16,-0.51,-0.02,-0.12,-0.4,-0.39,-0.55,-0.46,-0.69,-0.57,-0.69,-0.68,-0.1,-0.39,0.06,-0.16,-0.45,-0.04,-0.62,-0.4,-0.69,0.19,-0.44,0.46,1.0,0.85,-0.93,0.98,-0.01,0.99,-0.17,-0.22,-0.42,0.98,-0.01,0.99
transformed_mnist.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_human-activity-recognition.csv_predicted_cvis,0.8,0.86,0.66,0.93,0.82,0.84,-0.78,-0.21,-0.51,0.91,-0.05,0.81,-0.8,0.09,-0.74,0.92,0.8,0.86,0.96,0.95,0.93,-0.8,-0.02,-0.52,-0.88,0.02,-0.81,0.8,-0.34,0.4,-0.75,0.3,-0.78,0.4,-0.77,0.4,-0.88,0.06,-0.84,-0.89,0.18,-0.77,-0.67,-0.31,-0.82,-0.59,0.23,-0.78,0.35,--,-0.15,0.95,0.37,0.9,0.62,-0.38,0.52,0.95,0.37,0.9
transformed_g2-4-90.csv_predicted_cvis,0.98,--,0.98,0.99,--,1.0,0.15,--,-0.22,0.98,--,0.98,-0.88,--,-0.83,0.99,--,0.99,0.98,--,0.98,0.13,--,-0.23,-0.55,--,-0.8,0.58,--,0.78,-0.53,--,-0.71,-0.57,--,-0.81,-0.56,--,-0.79,-0.55,--,-0.79,-0.27,--,-0.02,-0.85,--,-0.86,0.99,--,0.99,0.98,--,0.98,0.8,--,0.67,0.98,--,0.98
transformed_g2-8-90.csv_predicted_cvis,0.89,0.62,0.99,0.88,0.93,1.0,-0.14,0.54,-0.83,0.87,0.77,0.99,0.14,0.37,-0.71,0.91,-0.05,1.0,0.94,0.53,0.99,-0.15,0.47,-0.83,0.45,0.38,-0.79,-0.66,0.31,-0.19,0.29,0.33,-0.72,0.42,0.32,-0.65,0.45,0.4,-0.8,0.45,0.34,-0.8,-0.08,0.31,-0.22,0.72,0.03,-0.79,0.95,--,1.0,0.86,0.54,0.99,0.21,0.74,0.11,0.86,0.54,0.99
transformed_g2-4-30.csv_predicted_cvis,--,--,1.0,--,--,1.0,--,--,-0.59,--,--,1.0,--,--,-0.07,--,--,1.0,--,--,1.0,--,--,-0.59,--,--,-0.22,--,--,-0.16,--,--,-0.25,--,--,-0.15,--,--,-0.17,--,--,-0.22,--,--,-0.12,--,--,-0.61,--,--,1.0,--,--,1.0,--,--,0.01,--,--,1.0
transformed_wine.csv_predicted_cvis,--,0.18,--,--,0.16,--,--,-0.48,--,--,0.06,--,--,-0.12,--,--,0.11,--,--,0.8,--,--,-0.38,--,--,-0.31,--,--,-0.19,--,--,-0.66,--,--,-0.31,--,--,-0.31,--,--,-0.32,--,--,-0.27,--,--,0.02,--,--,0.22,--,--,0.55,--,--,-0.36,--,--,0.55,--
transformed_g2-4-10.csv_predicted_cvis,--,--,0.99,--,--,1.0,--,--,-0.05,--,--,0.98,--,--,-0.86,--,--,0.99,--,--,0.99,--,--,-0.09,--,--,-0.03,--,--,-0.39,--,--,0.1,--,--,0.35,--,--,-0.4,--,--,-0.23,--,--,0.3,--,--,0.11,--,--,0.96,--,--,0.99,--,--,0.87,--,--,0.99
transformed_g2-8-30.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
