Dataset,adjusted_mutual_info_score_BIRCH,adjusted_mutual_info_score_DBSTREAM,adjusted_mutual_info_score_STREAM_KMEANS,adjusted_rand_index_BIRCH,adjusted_rand_index_DBSTREAM,adjusted_rand_index_STREAM_KMEANS,calinski_harabasz_score_BIRCH,calinski_harabasz_score_DBSTREAM,calinski_harabasz_score_STREAM_KMEANS,completeness_score_BIRCH,completeness_score_DBSTREAM,completeness_score_STREAM_KMEANS,davies_bouldin_score_BIRCH,davies_bouldin_score_DBSTREAM,davies_bouldin_score_STREAM_KMEANS,fowlkes_mallows_index_BIRCH,fowlkes_mallows_index_DBSTREAM,fowlkes_mallows_index_STREAM_KMEANS,homogeneity_score_BIRCH,homogeneity_score_DBSTREAM,homogeneity_score_STREAM_KMEANS,iCH_BIRCH,iCH_DBSTREAM,iCH_STREAM_KMEANS,iDB_BIRCH,iDB_DBSTREAM,iDB_STREAM_KMEANS,iGD43_BIRCH,iGD43_DBSTREAM,iGD43_STREAM_KMEANS,iGD53_BIRCH,iGD53_DBSTREAM,iGD53_STREAM_KMEANS,iPS_BIRCH,iPS_DBSTREAM,iPS_STREAM_KMEANS,iWB_BIRCH,iWB_DBSTREAM,iWB_STREAM_KMEANS,iXB_BIRCH,iXB_DBSTREAM,iXB_STREAM_KMEANS,icSIL_BIRCH,icSIL_DBSTREAM,icSIL_STREAM_KMEANS,irCIP_BIRCH,irCIP_DBSTREAM,irCIP_STREAM_KMEANS,jaccard_index_BIRCH,jaccard_index_DBSTREAM,jaccard_index_STREAM_KMEANS,normalized_mutual_info_score_BIRCH,normalized_mutual_info_score_DBSTREAM,normalized_mutual_info_score_STREAM_KMEANS,silhouette_score_BIRCH,silhouette_score_DBSTREAM,silhouette_score_STREAM_KMEANS,v_measure_score_BIRCH,v_measure_score_DBSTREAM,v_measure_score_STREAM_KMEANS
transformed_wine.csv_predicted_cvis,--,0.2628810535364616,--,--,0.2887271805106239,--,--,-0.3602123792793108,--,--,0.0037713191130387728,--,--,-0.11664385928116387,--,--,0.06884458966859314,--,--,0.8350989315833904,--,--,-0.0959861741531159,--,--,-0.09632246205054924,--,--,-0.6150705644055771,--,--,-0.7467512968148317,--,--,-0.5589585266624142,--,--,-0.0959861741531159,--,--,-0.0959861741531159,--,--,-0.2272825775367324,--,--,-0.0959861741531159,--,--,0.13980929261795527,--,--,0.4318897425608168,--,--,-0.33585552727949614,--,--,0.4318897425608168,--
transformed_s4_severe_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-8-10_severe_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-8-50_severe_knock-out.csv_predicted_cvis,0.9492256816949266,--,--,1.0,--,--,-0.6635190978312665,--,--,0.9492256816949266,--,--,-0.6837756237868975,--,--,0.9999916266104644,--,--,0.9492256816949266,--,--,-0.6770639122599971,--,--,-0.6770639122599971,--,--,-0.6801212742561085,--,--,-0.6770639122599971,--,--,-0.6770639122599971,--,--,-0.6591466626067519,--,--,-0.6770639122599971,--,--,-0.6770639122599971,--,--,-0.6770639122599971,--,--,--,--,--,0.9492256816949266,--,--,0.6722155876598529,--,--,0.9492256816949266,--,--
transformed_g2-2-90_moderate_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_u1.csv_predicted_cvis,--,--,-0.05069017731999919,--,--,0.08848209069088916,--,--,-0.18070467792702,--,--,0.009286750043358629,--,--,-0.5557861935671158,--,--,-0.028967789200343937,--,--,0.572940884619431,--,--,-0.25590155675032666,--,--,0.0960920664208636,--,--,0.2574493484242198,--,--,0.21552999058961483,--,--,0.23062095941007263,--,--,0.08022720176345928,--,--,-0.2898239909364839,--,--,-0.2574493484242198,--,--,0.1843161918327706,--,--,0.033833627538950736,--,--,0.37198593229230953,--,--,-0.017541638970788524,--,--,0.37198593229230953
transformed_iris_mild_gaussian-noise.csv_predicted_cvis,0.7585823234960589,0.07344096996404924,0.910793235319589,0.7994003496747621,-0.1257742027175285,0.9467839968434316,0.7292063285125787,-0.5129529030386859,-0.4570178231338415,-0.18193636321901654,0.4896646144633876,0.7780615507013118,0.6071579957635337,-0.5795033306901938,-0.5090585188507493,0.8059655114870968,-0.21623289134041537,0.9591051584461888,0.7239316332807384,0.5184478924778012,0.910793235319589,0.6677764163509915,-0.5382472988695343,-0.3423175358450182,0.6401045536731829,-0.5521156055492062,-0.3306448564318799,-0.6093490230136828,0.6041871721389181,0.39419611101452123,0.6687502062399466,0.505713472507788,-0.3559356618270128,0.3243531821794766,0.6025299531017246,-0.3405342098235665,0.6401045536731829,-0.5808988835636199,-0.3306448564318799,0.6401045536731829,-0.5521156055492062,-0.3306448564318799,0.6357224991728847,-0.5521156055492062,-0.3306448564318799,0.6344457910163435,-0.5542089348593455,-0.011755644977773283,0.5735508540668189,-0.16914029778840006,--,0.7877148710073004,0.6078504984316617,0.909172029845542,0.41540253679678285,0.171653003431412,-0.1763871555763106,0.7877148710073004,0.6078504984316617,0.909172029845542
transformed_g2-2-50_severe_knock-out.csv_predicted_cvis,0.6692217864227844,0.9456340693210029,0.5220066872175263,0.6731474415289758,0.9504144819093804,0.5545893250587903,-0.8875161623053187,-0.4308738837004568,-0.8400699416562067,0.668348269655082,0.9736733655189067,0.5363633882055114,0.2573556666040457,0.46793342159742024,0.44496412352754877,0.8157305116293652,0.9987437077653585,0.803599679171462,0.9530262914928082,0.9487120341864403,0.8719691659314728,-0.8856485489680037,-0.5213316008820714,-0.8389785803259694,0.736614818747724,-0.5213655001832932,0.6663742348092135,-0.8856485489680037,-0.5213316008820714,-0.8389785803259694,-0.8856485489680037,-0.5213316008820714,-0.8389785803259694,-0.8856485489680037,-0.5213316008820714,-0.8389785803259694,0.8182713365348954,-0.5303749071965076,0.780671113697724,0.8258582549412276,-0.5213316008820714,0.759617055641762,-0.8856485489680037,-0.5213316008820714,-0.8389785803259694,0.8108222895356889,-0.5213316008820714,0.6893106009041617,0.6062899416780634,0.9398919716176217,-0.6582725812264841,0.6930750530239427,0.9493496551876723,0.5446560851596768,-0.6340130944817063,0.6108652025673474,-0.38836825832064437,0.6930750530239427,0.9493496551876723,0.5446560851596768
transformed_g2-2-90.csv_predicted_cvis,0.9541688554189948,--,0.9801459934582283,0.9711393194252831,--,0.9867313673293451,0.4563085389273442,--,0.39295786080812456,0.9874961137455769,--,0.997597480075187,0.5137743702783787,--,0.4099746196831435,0.9441071749924147,--,0.9783241313696716,0.9906563922189392,--,0.9985042622546352,0.45502591588461516,--,0.39183248449494923,0.4708662581103571,--,0.37624542182278464,0.3995323923095715,--,-0.09076326312989003,0.455023141230686,--,0.39183256302235925,0.463362258910881,--,0.398774961936903,0.4632404358978022,--,0.3459611690889434,0.4706538400288929,--,0.3664944115610197,-0.06992017962387415,--,0.26679088132634327,0.4094403935548481,--,0.27087454223026164,-0.6032544587184464,--,-0.8940802875706572,0.9891998297860279,--,0.9981796037657578,-0.4830493970496108,--,-0.2687437009590306,0.9891998297860279,--,0.9981796037657578
transformed_g2-8-10.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-4-90_moderate_gaussian-noise.csv_predicted_cvis,0.9942209077567689,--,0.9765725296271524,0.9934863518819095,--,0.9906628775738069,-0.022177720825794178,--,0.07728466404108993,0.9980979431307224,--,0.987133680799553,-0.37029371380423076,--,-0.416812393569911,0.9811853539255508,--,0.974277337532012,0.9977126269223373,--,0.9874575669035864,-0.023660559527778503,--,0.07529769077582589,-0.023660559527778503,--,0.07529769077582589,0.023520707419096263,--,-0.07541384066819365,-0.023660559527778503,--,0.07529769077582589,-0.017147290749276616,--,0.26212418051155567,-0.023660559527778503,--,0.07529763867899143,-0.023660559527778503,--,0.07529769077582589,-0.017874370635595736,--,-0.11679831561752217,0.018631744674499684,--,-0.1200496806179832,0.9416343289115371,--,-0.9027642432785047,0.9980488164499413,--,0.9877262824455848,0.701256998034023,--,0.7738293429988037,0.9980488164499413,--,0.9877262824455848
transformed_g2-4-50_moderate_gaussian-noise.csv_predicted_cvis,0.9886198230544305,0.8884847219624212,0.9894785453561017,0.9994489645988179,0.9037919097109728,0.9997688353898715,-0.7391954770885506,-0.699974491299738,-0.6985975711595778,0.9851829075353641,0.8506307353072095,0.9865756241793102,-0.6887582114215095,-0.746645348283353,-0.7331383449072436,0.9984204441214659,0.8871642559092711,0.9993158319326628,0.9877585133696488,0.9360902746662374,0.9885947587952786,-0.7406412313298528,-0.7013971637574362,-0.7003040000598194,-0.7858119734030325,-0.7013972679596231,-0.7021808660647989,0.6510164247165723,0.7013971637574362,0.4731562996218086,-0.7406412313298528,-0.7021529161684499,-0.7003040000598194,-0.7439525925540038,0.5820573688671784,-0.699494586617129,-0.7954349315546374,-0.6985291288158431,-0.6882589965285569,-0.7942465904410162,-0.7012729287001088,-0.6972424359769729,0.24798381547058787,0.5978560615851345,0.24124211702939322,-0.0851844171364402,-0.5362666035540914,-0.6879752733213422,0.9882156058063132,0.5659009643614138,-0.7507235557396844,0.9864341110816186,0.8910498700035454,0.9875711637494159,0.5843334263522498,0.169422413826692,0.6635829442295358,0.9864341110816186,0.8910498700035454,0.9875711637494159
