Dataset,adjusted_mutual_info_score_BIRCH,adjusted_mutual_info_score_DBSTREAM,adjusted_mutual_info_score_STREAM_KMEANS,adjusted_rand_index_BIRCH,adjusted_rand_index_DBSTREAM,adjusted_rand_index_STREAM_KMEANS,completeness_score_BIRCH,completeness_score_DBSTREAM,completeness_score_STREAM_KMEANS,fowlkes_mallows_index_BIRCH,fowlkes_mallows_index_DBSTREAM,fowlkes_mallows_index_STREAM_KMEANS,homogeneity_score_BIRCH,homogeneity_score_DBSTREAM,homogeneity_score_STREAM_KMEANS,jaccard_index_BIRCH,jaccard_index_DBSTREAM,jaccard_index_STREAM_KMEANS,normalized_mutual_info_score_BIRCH,normalized_mutual_info_score_DBSTREAM,normalized_mutual_info_score_STREAM_KMEANS,v_measure_score_BIRCH,v_measure_score_DBSTREAM,v_measure_score_STREAM_KMEANS
transformed_s1.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-4-70.csv_predicted_cvis,0.97,1.0,0.99,0.99,1.0,1.0,0.97,1.0,0.98,0.98,1.0,0.99,0.97,1.0,1.0,-0.77,0.99,0.97,0.97,1.0,1.0,0.97,1.0,1.0
transformed_g2-8-30.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-8-90.csv_predicted_cvis,0.98,0.65,1.0,0.99,0.91,1.0,0.98,0.72,1.0,0.99,-0.07,1.0,0.99,0.51,1.0,0.98,--,0.99,0.98,0.52,1.0,0.98,0.52,1.0
transformed_g2-8-10.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-2-70.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-4-30.csv_predicted_cvis,--,--,1.0,--,--,1.0,--,--,1.0,--,--,1.0,--,--,1.0,--,--,1.0,--,--,1.0,--,--,1.0
transformed_g2-2-90.csv_predicted_cvis,0.95,--,0.98,0.97,--,0.99,0.99,--,1.0,0.94,--,0.98,0.99,--,1.0,-0.6,--,-0.89,0.99,--,1.0,0.99,--,1.0
transformed_human-activity-recognition.csv_predicted_cvis,0.9,0.87,0.85,0.84,0.83,0.93,0.96,-0.24,0.89,0.84,0.83,0.92,0.97,0.98,0.9,0.63,--,-0.72,0.97,-0.06,0.9,0.97,-0.06,0.9
transformed_g2-8-50.csv_predicted_cvis,0.99,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,-0.78,1.0,-1.0,0.99,1.0,1.0,0.99,1.0,1.0
transformed_wine.csv_predicted_cvis,--,0.26,--,--,0.29,--,--,0.0,--,--,0.07,--,--,0.84,--,--,0.14,--,--,0.43,--,--,0.43,--
transformed_mnist.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-4-90.csv_predicted_cvis,0.99,--,1.0,1.0,--,1.0,0.98,--,1.0,0.99,--,1.0,0.98,--,1.0,0.98,--,0.98,0.98,--,1.0,0.98,--,1.0
transformed_s4.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-8-70.csv_predicted_cvis,1.0,0.89,0.94,1.0,0.99,1.0,1.0,0.8,0.94,1.0,0.98,1.0,1.0,0.95,0.94,-0.15,0.97,-0.36,1.0,0.89,0.94,1.0,0.89,0.94
transformed_g2-2-50.csv_predicted_cvis,0.99,0.86,1.0,1.0,0.91,1.0,0.99,0.94,0.99,1.0,0.76,1.0,0.99,0.91,1.0,1.0,0.89,-0.95,0.99,0.91,0.99,0.99,0.91,0.99
transformed_g2-2-30.csv_predicted_cvis,0.99,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,--,0.99,1.0,1.0,0.99,1.0,1.0
transformed_g2-4-50.csv_predicted_cvis,1.0,0.97,1.0,1.0,0.98,1.0,1.0,0.95,1.0,1.0,0.98,1.0,1.0,0.99,1.0,1.0,0.84,-0.92,1.0,0.98,1.0,1.0,0.98,1.0
transformed_g2-2-10.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_s3.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_u1.csv_predicted_cvis,--,--,-0.05,--,--,0.09,--,--,0.01,--,--,-0.03,--,--,0.57,--,--,0.03,--,--,0.37,--,--,0.37
transformed_seeds.csv_predicted_cvis,0.87,0.31,0.7,0.83,0.6,0.76,0.43,-0.75,0.7,0.74,-0.14,0.72,0.75,0.89,0.93,-0.52,-1.0,0.3,0.55,0.26,0.84,0.55,0.26,0.84
transformed_s2.csv_predicted_cvis,--,--,0.97,--,--,0.98,--,--,-0.59,--,--,0.97,--,--,0.93,--,--,0.82,--,--,0.95,--,--,0.93
transformed_g2-4-10.csv_predicted_cvis,--,--,1.0,--,--,1.0,--,--,1.0,--,--,1.0,--,--,1.0,--,--,0.99,--,--,1.0,--,--,1.0
transformed_iris.csv_predicted_cvis,0.69,0.34,0.94,0.89,0.4,0.96,0.76,0.54,0.66,0.87,0.4,0.96,0.86,0.57,0.98,0.8,0.2,-0.46,0.97,0.76,0.9,0.97,0.76,0.9
transformed_fashion-mnist.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
