Dataset,adjusted_mutual_info_score_BIRCH,adjusted_mutual_info_score_DBSTREAM,adjusted_mutual_info_score_STREAM_KMEANS,adjusted_rand_index_BIRCH,adjusted_rand_index_DBSTREAM,adjusted_rand_index_STREAM_KMEANS,completeness_score_BIRCH,completeness_score_DBSTREAM,completeness_score_STREAM_KMEANS,fowlkes_mallows_index_BIRCH,fowlkes_mallows_index_DBSTREAM,fowlkes_mallows_index_STREAM_KMEANS,homogeneity_score_BIRCH,homogeneity_score_DBSTREAM,homogeneity_score_STREAM_KMEANS,jaccard_index_BIRCH,jaccard_index_DBSTREAM,jaccard_index_STREAM_KMEANS,normalized_mutual_info_score_BIRCH,normalized_mutual_info_score_DBSTREAM,normalized_mutual_info_score_STREAM_KMEANS,v_measure_score_BIRCH,v_measure_score_DBSTREAM,v_measure_score_STREAM_KMEANS
transformed_s2_severe_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_s3_severe_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-8-90_severe_knock-out.csv_predicted_cvis,0.08,-0.66,0.68,0.55,0.16,0.73,0.46,-0.83,0.7,0.84,0.56,0.92,0.19,-0.16,0.76,0.07,--,-0.18,0.14,-0.41,0.73,0.14,-0.41,0.73
transformed_g2-2-10_severe_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-4-70_severe_knock-out.csv_predicted_cvis,0.68,0.58,--,0.66,0.61,--,0.65,0.6,--,0.88,0.82,--,0.84,0.55,--,-0.55,0.51,--,0.7,0.62,--,0.7,0.62,--
transformed_g2-8-30_severe_gaussian-noise.csv_predicted_cvis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
transformed_fashion-mnist_severe_knock-out.csv_predicted_cvis,-0.6,--,--,-0.6,--,--,-0.74,--,--,-0.89,--,--,1.0,--,--,-0.95,--,--,0.4,--,--,0.4,--,--
transformed_g2-8-70_severe_gaussian-noise.csv_predicted_cvis,1.0,0.96,1.0,1.0,0.99,1.0,1.0,0.93,1.0,1.0,0.99,1.0,1.0,0.98,1.0,-0.87,0.92,1.0,1.0,0.95,1.0,1.0,0.95,1.0
transformed_s4_severe_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_s1_severe_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-2-10_severe_gaussian-noise.csv_predicted_cvis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
transformed_g2-4-30_severe_gaussian-noise.csv_predicted_cvis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
transformed_g2-4-10_severe_gaussian-noise.csv_predicted_cvis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
transformed_seeds_severe_gaussian-noise.csv_predicted_cvis,0.8,0.3,0.2,0.77,0.31,0.71,0.55,0.73,0.79,0.78,0.28,0.74,0.69,0.73,0.65,-0.76,0.08,0.6,0.64,0.76,0.71,0.64,0.76,0.71
transformed_wine_severe_gaussian-noise.csv_predicted_cvis,--,0.68,--,--,0.64,--,--,0.11,--,--,0.19,--,--,0.6,--,--,0.3,--,--,0.81,--,--,0.81,--
transformed_s4_severe_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-8-50_severe_gaussian-noise.csv_predicted_cvis,0.99,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,-0.9,1.0,-0.99,0.99,1.0,1.0,0.99,1.0,1.0
transformed_g2-2-90_severe_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-2-90_severe_knock-out.csv_predicted_cvis,-0.35,-0.08,-0.72,-0.68,-0.34,-0.75,-0.36,-0.12,-0.65,-0.21,0.13,-0.2,0.1,0.3,0.04,-0.59,-0.52,-0.24,-0.25,-0.05,-0.5,-0.25,-0.05,-0.5
transformed_g2-4-50_severe_knock-out.csv_predicted_cvis,0.8,0.73,0.81,0.85,0.27,0.89,0.83,0.62,0.85,0.99,0.37,0.99,0.84,0.96,0.81,0.8,0.86,-0.44,0.8,0.78,0.82,0.8,0.78,0.82
transformed_g2-4-50_severe_gaussian-noise.csv_predicted_cvis,1.0,1.0,1.0,1.0,0.99,1.0,0.99,0.99,1.0,1.0,0.99,1.0,0.99,1.0,1.0,1.0,0.91,-0.89,0.99,1.0,1.0,0.99,1.0,1.0
transformed_g2-2-50_severe_gaussian-noise.csv_predicted_cvis,1.0,--,1.0,1.0,--,1.0,1.0,--,1.0,1.0,--,1.0,1.0,--,0.99,1.0,--,-0.92,1.0,--,1.0,1.0,--,1.0
transformed_human-activity-recognition_severe_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_s1_severe_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-8-50_severe_knock-out.csv_predicted_cvis,0.95,--,--,1.0,--,--,0.95,--,--,1.0,--,--,0.95,--,--,--,--,--,0.95,--,--,0.95,--,--
transformed_g2-2-30_severe_knock-out.csv_predicted_cvis,0.99,0.98,0.85,0.96,0.99,0.72,0.86,0.98,0.79,1.0,1.0,0.98,0.91,0.99,0.78,0.94,0.96,0.66,0.99,0.98,0.86,0.99,0.98,0.86
transformed_g2-8-70_severe_knock-out.csv_predicted_cvis,0.97,0.74,0.99,0.99,0.7,1.0,0.97,0.65,0.99,1.0,0.64,1.0,0.99,0.88,1.0,--,0.99,0.99,0.98,0.73,0.99,0.98,0.73,0.99
transformed_u1_severe_gaussian-noise.csv_predicted_cvis,--,--,0.86,--,--,0.89,--,--,0.63,--,--,0.83,--,--,0.89,--,--,--,--,--,0.88,--,--,0.88
transformed_g2-4-10_severe_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_fashion-mnist_severe_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-2-30_severe_gaussian-noise.csv_predicted_cvis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
transformed_human-activity-recognition_severe_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-2-50_severe_knock-out.csv_predicted_cvis,0.67,0.95,0.52,0.67,0.95,0.55,0.67,0.97,0.54,0.82,1.0,0.8,0.95,0.95,0.87,0.61,0.94,-0.66,0.69,0.95,0.54,0.69,0.95,0.54
transformed_seeds_severe_knock-out.csv_predicted_cvis,0.96,--,--,0.95,--,--,0.95,--,--,0.94,--,--,0.95,--,--,-0.55,--,--,0.95,--,--,0.95,--,--
transformed_s2_severe_gaussian-noise.csv_predicted_cvis,1.0,--,0.75,1.0,--,0.75,-0.36,--,-0.13,0.98,--,0.6,1.0,--,1.0,-0.14,--,0.63,1.0,--,0.86,1.0,--,0.86
transformed_u1_severe_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_g2-8-10_severe_gaussian-noise.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_mnist_severe_knock-out.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
