Dataset,adjusted_mutual_info_score_BIRCH,adjusted_mutual_info_score_DBSTREAM,adjusted_mutual_info_score_STREAM_KMEANS,adjusted_rand_index_BIRCH,adjusted_rand_index_DBSTREAM,adjusted_rand_index_STREAM_KMEANS,calinski_harabasz_score_BIRCH,calinski_harabasz_score_DBSTREAM,calinski_harabasz_score_STREAM_KMEANS,completeness_score_BIRCH,completeness_score_DBSTREAM,completeness_score_STREAM_KMEANS,davies_bouldin_score_BIRCH,davies_bouldin_score_DBSTREAM,davies_bouldin_score_STREAM_KMEANS,fowlkes_mallows_index_BIRCH,fowlkes_mallows_index_DBSTREAM,fowlkes_mallows_index_STREAM_KMEANS,homogeneity_score_BIRCH,homogeneity_score_DBSTREAM,homogeneity_score_STREAM_KMEANS,iCH_BIRCH,iCH_DBSTREAM,iCH_STREAM_KMEANS,iDB_BIRCH,iDB_DBSTREAM,iDB_STREAM_KMEANS,iGD43_BIRCH,iGD43_DBSTREAM,iGD43_STREAM_KMEANS,iGD53_BIRCH,iGD53_DBSTREAM,iGD53_STREAM_KMEANS,iPS_BIRCH,iPS_DBSTREAM,iPS_STREAM_KMEANS,iWB_BIRCH,iWB_DBSTREAM,iWB_STREAM_KMEANS,iXB_BIRCH,iXB_DBSTREAM,iXB_STREAM_KMEANS,icSIL_BIRCH,icSIL_DBSTREAM,icSIL_STREAM_KMEANS,irCIP_BIRCH,irCIP_DBSTREAM,irCIP_STREAM_KMEANS,jaccard_index_BIRCH,jaccard_index_DBSTREAM,jaccard_index_STREAM_KMEANS,normalized_mutual_info_score_BIRCH,normalized_mutual_info_score_DBSTREAM,normalized_mutual_info_score_STREAM_KMEANS,silhouette_score_BIRCH,silhouette_score_DBSTREAM,silhouette_score_STREAM_KMEANS,v_measure_score_BIRCH,v_measure_score_DBSTREAM,v_measure_score_STREAM_KMEANS
transformed_g2-8-50.csv_predicted_cvis,0.9906534060435124,0.9999944765960497,1.0,0.9999947797944588,0.9999871999375599,1.0,-0.160463919378275,-0.17852890605957797,0.05927750088413075,0.9911473482451302,0.9999602156617778,1.0,0.0016757122150987559,-0.04678244336965413,0.22619531624613037,0.9999922487855794,0.9999657654326604,1.0,0.9896688172247554,0.9999859212491734,1.0,-0.16082090271826022,-0.1789324928616094,0.059235258718633534,-0.16082090271826022,-0.1789324928616094,0.059235258718633534,0.015969730757259035,0.03545858002678798,-0.20691029657645707,-0.16082090271826022,-0.1789324928616094,0.059235258718633534,-0.19171925695873648,-0.1637360298688402,0.028093010305909098,-0.16082090271826022,-0.1789324928616094,0.059235258718633534,-0.16082090271826022,-0.1789324928616094,0.059235258718633534,-0.2526563052132061,-0.3297767313605545,-0.529680161220403,-0.8400548559186534,-0.40673558295083506,-0.6960763856645249,-0.7791612334014496,0.9993874559647443,-1.0,0.9903965086422547,0.999998101742893,1.0,-0.2500554153347326,-0.18252024634250727,-0.497092957539638,0.9903965086422547,0.999998101742893,1.0
transformed_g2-2-50.csv_predicted_cvis,0.9949782062532545,0.8566627346578534,0.995550065712584,0.998767292014242,0.9136091489278906,0.9997722694139058,-0.8394564007510328,-0.0411417551445365,-0.9512281527996963,0.9930845533579484,0.9405075271244059,0.9930554995738993,0.2764779712563066,-0.49024184027655293,0.3568900058720046,0.9965811219285369,0.7584695032301237,0.9992423377089984,0.994955354574756,0.9052461856819917,0.995259826999617,-0.8405653976299486,-0.04699266832501668,-0.9517064903690775,0.7499933317139853,0.02662671624265929,0.7834411333713358,-0.7510778802466668,-0.05165786860664694,-0.8407655484873898,-0.8376609655084688,-0.04699266832501668,-0.9517064903690775,-0.8405653976299486,0.10726475325447553,-0.9517064903690775,0.7464618283051518,0.07271650895997288,0.7908866458431519,0.752184259529626,0.027944235799568062,0.776329546278342,-0.8406212571276616,-0.04693632488600852,-0.9517231905643968,0.749475675937616,0.0002733555473655204,0.8195526358121876,0.9961127648645978,0.8868696015246896,-0.954961118683115,0.9939968928795745,0.9141635313857308,0.994200382404684,-0.2268351068843881,0.3710370188242383,-0.3230819001200467,0.9939968928795745,0.9141635313857308,0.994200382404684
transformed_s2.csv_predicted_cvis,--,--,0.9658663938143328,--,--,0.9785714285714282,--,--,0.8426648406178137,--,--,-0.5933082268219882,--,--,-0.8685929895599002,--,--,0.9740008245261429,--,--,0.9277746921453839,--,--,0.6838549283475334,--,--,-0.8621109523243786,--,--,0.8621109523243786,--,--,0.8621109523243786,--,--,0.14260481918147613,--,--,-0.8621109523243786,--,--,-0.8621109523243786,--,--,0.7713624310270756,--,--,-0.8646578144530208,--,--,0.8210863588665366,--,--,0.9485569602334306,--,--,0.46346566233979747,--,--,0.9277746921453839
transformed_fashion-mnist.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_iris.csv_predicted_cvis,0.6892500736825684,0.3378275322071122,0.936608377842095,0.8940372644977306,0.3958170462559639,0.9623055265157964,-0.3866940378070773,-0.1310029457810622,-0.09687095477941005,0.7558121925260856,0.5372103650143023,0.6568580306088365,-0.31991913367043756,-0.06936276014559993,-0.09476330220680362,0.8748080393696824,0.3984704515954646,0.96303509856016,0.8552889233942532,0.5707684615219912,0.9837873700442847,-0.30263717184649563,-0.09084555832834645,-0.05601492029503962,-0.30263717184649563,-0.09084555832834645,-0.05601492029503962,0.49679555046007845,0.11864682656484198,0.15969521415517804,-0.32389479624965434,0.10348249843584441,-0.05504215756922127,-0.2721300467488328,0.4720599182378682,-0.05601492029503962,-0.30263717184649563,-0.09168802100217965,-0.05601492029503962,-0.30263717184649563,-0.09084555832834645,-0.05601492029503962,-0.3023126279624779,-0.09084555832834645,-0.05601492029503962,-0.3062071545706902,-0.09898936417540069,-0.06395914922255609,0.7967682018760637,0.20169607409740603,-0.46011825617338287,0.9650703400864479,0.7572335333304057,0.9044261443296049,0.16064922258875639,0.2770298092454831,0.34095333539932937,0.9650703400864479,0.7572335333304057,0.9044261443296049
transformed_wine.csv_predicted_cvis,--,0.2628810535364616,--,--,0.2887271805106239,--,--,-0.3602123792793108,--,--,0.0037713191130387728,--,--,-0.11664385928116387,--,--,0.06884458966859314,--,--,0.8350989315833904,--,--,-0.0959861741531159,--,--,-0.09632246205054924,--,--,-0.6150705644055771,--,--,-0.7467512968148317,--,--,-0.5589585266624142,--,--,-0.0959861741531159,--,--,-0.0959861741531159,--,--,-0.2272825775367324,--,--,-0.0959861741531159,--,--,0.13980929261795527,--,--,0.4318897425608168,--,--,-0.33585552727949614,--,--,0.4318897425608168,--
transformed_g2-2-70.csv_predicted_cvis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
transformed_seeds.csv_predicted_cvis,0.8680517824956179,0.3142857142857143,0.6959198553961966,0.8261174511269801,0.6,0.7551115677861046,0.28258400223348495,-0.2,-0.43033598796253075,0.43026792628912247,-0.753702346348183,0.6962923379791047,0.0011679323060230632,0.8857142857142858,-0.41395256756889554,0.740441274106574,-0.14285714285714288,0.7206757877397201,0.7450851954186181,0.8857142857142858,0.9300442177955646,0.25727880226965194,1.0,-0.4771497341806769,0.25727880226965194,1.0,-0.4713918937367339,-0.1423208938625247,-0.14285714285714288,0.44671940835616597,0.3211813841563424,-0.4285714285714286,-0.7102171017159393,0.25727880226965194,-0.14285714285714288,0.17523862220696423,0.25727880226965194,1.0,-0.4713918937367339,0.25727880226965194,1.0,-0.4713918937367339,0.25711195479736293,1.0,0.16717208245458015,0.25928097193712,1.0,-0.4713918937367339,-0.52261646190971,-1.0,0.2955283449566196,0.5470372458115642,0.2571428571428572,0.8364723566679093,0.1666250089926237,-0.7714285714285715,0.20850614477196885,0.5470372458115642,0.2571428571428572,0.8364723566679093
transformed_g2-4-30.csv_predicted_cvis,--,--,1.0,--,--,1.0,--,--,-0.5863925938489644,--,--,1.0,--,--,-0.15181666830316387,--,--,1.0,--,--,1.0,--,--,-0.5867473624168026,--,--,-0.5867473624168026,--,--,-0.5875542783783155,--,--,-0.5867657473983743,--,--,-0.5867473624168026,--,--,-0.3799789518267726,--,--,-0.5867473624168026,--,--,-0.5867473624168026,--,--,-0.5867473624168026,--,--,0.9999930159230488,--,--,1.0,--,--,0.23707952738434276,--,--,1.0
transformed_g2-4-10.csv_predicted_cvis,--,--,0.9981788984514764,--,--,0.9988383758788678,--,--,-0.41907503154473413,--,--,0.9995494330280318,--,--,-0.9597454806263754,--,--,0.9960400598156058,--,--,0.9971377883339819,--,--,-0.4713253829764809,--,--,-0.2949327706366379,--,--,0.4558489714838479,--,--,0.03325248666998859,--,--,-0.49567482013889,--,--,0.3718044752090862,--,--,-0.032047554410385745,--,--,-0.4719826092359115,--,--,-0.4764898221352025,--,--,0.9875760942433067,--,--,0.9996633116042848,--,--,0.940387643922619,--,--,0.9996633116042848
